Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Стандартный
ПТМ: 4.8
""
Время, с;Тв, С;Тст, С
0;20;20
1;39;20.03649111067682
2;55;20.10600169665895
3;70;20.205741263633115
4;84;20.333412580124616
5;97;20.487087320608453
6;108;20.665120468645682
7;119;20.866089460268654
8;129;21.088749721624197
9;138;21.332001419957123
10;147;21.59486409535691
11;155;21.876456963029455
12;163;22.175983380690184
13;171;22.492718431504215
14;178;22.82599887551197
15;185;23.175214927901322
16;191;23.539803464870147
17;197;23.919242358346253
18;203;24.313045712995745
19;209;24.720759831546673
20;215;25.1419597733219
21;220;25.57624639996385
22;225;26.023243824359724
23;230;26.482597195631683
24;235;26.953970766090663
25;240;27.43704619621792
26;244;27.931521061741194
27;249;28.4371075332204
28;253;28.95353120363154
29;257;29.48053004352215
30;261;30.01785346662217
31;265;30.565261491491924
32;269;31.122523987003888
33;273;31.68941999128009
34;276;32.26573709522097
35;280;32.8512708830234
36;283;33.44582442314169
37;287;34.049207804033244
38;290;34.66123770978169
39;293;35.28173703132546
40;297;35.91053450956264
41;300;36.547464407064695
42;303;37.19236620552954
43;306;37.84508432644509
44;309;38.50546787272998
45;312;39.173370389373304
46;314;39.848649641316456
47;317;40.53116740701398
48;320;41.220789286278546
49;323;41.917384521163115
50;325;42.620825828762975
51;328;43.33098924493453
52;330;44.0477539780282
53;333;44.77100227182217
54;335;45.500619276922635
55;338;46.23649292996521
56;340;46.9785138400166
57;342;47.726575181628846
58;345;48.48057259404999
59;347;49.240404086138255
60;349;50.005969946567234
61;351;50.77717265894546
62;354;51.5539168215052
63;356;52.33610907104537
64;358;53.1236580108386
65;360;53.91647414223718
66;362;54.71446979973297
67;364;55.517559089246504
68;366;56.3256578294384
69;368;57.13868349585084
70;370;57.9565551677033
71;372;58.779193477178694
72;374;59.6065205610488
73;376;60.438460014498446
74;377;61.274936847019205
75;379;62.11587744025087
76;381;62.961209507659305
77;383;63.81086205594579
78;385;64.66476534809107
79;386;65.52285086794296
80;388;66.38505128626366
81;390;67.25130042815715
82;391;68.12153324180395
83;393;68.99568576843308
84;395;69.87369511346805
85;396;70.75549941878512
86;398;71.64103783602854
87;400;72.53025050092856
88;401;73.42307850857293
89;403;74.31946388958511
90;404;75.2193495871648
91;406;76.12267943494976
92;407;77.02939813565968
93;409;77.9394512404856
94;410;78.85278512919018
95;412;79.76934699088622
96;413;80.6890848054627
97;415;81.6119473256291
98;416;82.53788405955089
99;418;83.46684525404987
100;419;84.39878187834495
101;420;85.33364560831018
102;422;86.27138881122818
103;423;87.2119645310176
104;424;88.15532647391541
105;426;89.10142899459498
106;427;90.0502270827024
107;428;91.00167634979391
108;430;91.95573301665837
109;431;92.91235390101002
110;432;93.87149640553633
111;434;94.8331185062878
112;435;95.79717874139618
113;436;96.7636362001088
114;437;97.732450512127
115;439;98.70358183723766
116;440;99.67699085522645
117;441;100.65263875606308
118;442;101.63048723034825
119;443;102.61049846001328
120;445;103.59263510926314
121;446;104.57686031575474
122;447;105.56313768200164
123;448;106.55143126699795
124;449;107.54170557805384
125;450;108.53392556283512
126;451;109.52805660160055
127;453;110.52406449962973
128;454;111.52191547983608
129;455;112.52157617555787
130;456;113.52301362352256
131;457;114.52619525697804
132;458;115.53108889898613
133;459;116.5376627558727
134;460;117.5458854108299
135;461;118.55572581766552
136;462;119.5671532946954
137;463;120.58013751877377
138;464;121.5946485194583
139;465;122.61065667330502
140;466;123.6281326982899
141;467;124.64704764835284
142;468;125.66737290806088
