Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Углеводородный
ПТМ: 8.5
""
Время, с;Тв, С;Тст, С
0;20;20
1;51;20.033994702688233
2;80;20.101820945513452
3;109;20.20343871343232
4;136;20.3389086662595
5;162;20.508370448305982
6;187;20.712022293611938
7;211;20.95010226074936
8;234;21.222871293136166
9;257;21.53059819597553
10;278;21.873546542673864
11;299;22.25196346645339
12;318;22.666070252430643
13;337;23.1160546180692
14;356;23.60206455271731
15;373;24.12420357755144
16;390;24.682527283775812
17;406;25.277041007863318
18;422;25.9076985067652
19;437;26.574401502416322
20;451;27.276999972775172
21;465;28.015293075487136
22;478;28.789030599599187
23;491;29.597914850247093
24;503;30.441602880631763
25;515;31.319708994714915
26;527;32.23180745276579
27;538;33.177435320093764
28;548;34.15609540695277
29;558;35.167259254670455
30;568;36.21037012953349
31;578;37.284845991851284
32;587;38.390082412942945
33;595;39.5254554175678
34;604;40.69032423357902
35;612;41.88403393435499
36;620;43.105917962885655
37;627;44.35530052930102
38;635;45.631498876155604
39;642;46.93382540796432
40;648;48.26158968335136
41;655;49.61410026975841
42;661;50.99066646198912
43;667;52.390599866971
44;673;53.813215858020556
45;679;55.25783490262586
46;684;56.7237837683312
47;689;58.21039661174723
48;694;59.71701595602747
49;699;61.242993562370714
50;704;62.78769120123832
51;708;64.35048132903302
52;713;65.93074767597909
53;717;67.52788575088579
54;721;69.14130326837545
55;725;70.77042050402139
56;729;72.4146705826762
57;733;74.07349970508614
58;736;75.74636731768436
59;740;77.43274623024138
60;743;79.13212268582942
61;746;80.84399638732981
62;750;82.56788048448396
63;753;84.30330152526045
64;756;86.04979937508506
65;759;87.80692710725918
66;761;89.5742508676754
67;764;91.35134971673114
68;767;93.1378154511371
69;769;94.93325240812482
70;772;96.73727725437067
71;774;98.54951876177728
72;776;100.36961757208411
73;779;102.19722595212022
74;781;104.03200754136094
75;783;105.87363709330856
76;785;107.72180021208356
77;787;109.57619308548726
78;789;111.43652221568078
79;791;113.30250414851446
80;793;115.17386520244139
81;795;117.05034119785279
82;797;118.93167718758582
83;798;120.81762718927308
84;800;122.70795392012661
85;802;124.6024285346814
86;803;126.50083036595822
87;805;128.4029466704469
88;807;130.30857237725735
89;808;132.21750984173656
90;810;134.12956860380376
91;811;136.0445651512149
92;813;137.9623226879305
93;814;139.88267090772632
94;815;141.80544577315544
95;817;143.7304892999423
96;818;145.6576493468644
97;819;147.58677941115383
98;821;149.51773842943146
99;822;151.45039058416762
100;823;153.38460511564716
101;824;155.32025613940255
102;825;157.2572224690656
103;827;159.19538744457788
104;828;161.13463876568898
105;829;163.0748683306648
106;830;165.01597208011952
107;831;166.95784984587914
108;832;168.90040520477947
109;833;170.8435453372968
110;834;172.7871808909054
111;835;174.73122584805463
112;836;176.67559739865476
113;837;178.6202158169594
114;838;180.56500434273192
115;839;182.50988906658233
116;840;184.45479881936018
117;841;186.3996650654907
118;842;188.34442180014048
119;843;190.2890054501009
120;844;192.23335477827766
