Данные прогрева незащищенной стальной контрукции
""
Режим пожара: Стандартный
ПТМ: 6.5
""
Время, с;Тв, С;Тст, С
0;20;20
1;39;20.0269472817306
2;55;20.07829226563956
3;70;20.151987656019287
4;84;20.246349790720217
5;97;20.359966881941546
6;108;20.491635866318575
7;119;20.64031751412159
8;129;20.80510363662802
9;138;20.985192567493186
10;147;21.179870458470873
11;155;21.388496758334156
12;163;21.61049276410995
13;171;21.84533247018004
14;178;22.092535164064827
15;185;22.351659369301956
16;191;22.622297840899137
17;197;22.904073393013505
18;203;23.196635391752352
19;209;23.49965678479424
20;215;23.812831568200806
21;220;24.13587261224791
22;225;24.468509784349067
23;230;24.810488319579065
24;235;25.161567398914883
25;240;25.52151890280976
26;244;25.89012631361618
27;249;26.267183745054695
28;253;26.652495080665233
29;257;27.045873206190606
30;261;27.447139323280226
31;265;27.85612233389236
32;269;28.272658286404862
33;273;28.69658987578947
34;276;29.127765991321496
35;280;29.566041306225202
36;283;30.011275904434
37;287;30.46333494029949
38;290;30.922088327635265
39;293;31.387410454950555
40;297;31.859179924128057
41;300;32.33727931014084
42;303;32.82159493969556
43;306;33.312016686941035
44;309;33.80843778459854
45;312;34.31075464905717
46;314;34.81886671814232
47;317;35.33267630040632
48;320;35.85208843491523
49;323;36.37701076061427
50;325;36.90735339444956
51;328;37.443028817508605
52;330;37.98395176851517
53;333;38.530039144080376
54;335;39.08120990516994
55;338;39.637384989298255
56;340;40.1984872280068
57;342;40.76444126922502
58;345;41.33517350414792
59;347;41.91061199829778
60;349;42.49068642646648
61;351;43.07532801126172
62;354;43.66446946500287
63;356;44.25804493473544
64;358;44.85598995015033
65;360;45.45824137421323
66;362;46.064737356323974
67;364;46.67541728784096
68;366;47.290221759817484
69;368;47.909092522810454
70;370;48.53197244863043
71;372;49.158805493913746
72;374;49.789536665405365
73;376;50.42411198684886
74;377;51.06247846738887
75;379;51.70458407139671
76;381;52.35037768963673
77;383;52.999809111697004
78;385;53.65282899961261
79;386;54.30938886261521
80;388;54.96944103294652
81;390;55.632938642678255
82;391;56.29983560148361
83;393;56.97008657531069
84;395;57.64364696590951
85;396;58.32047289116889
86;398;59.000521166221176
87;400;59.683749285276406
88;401;60.37011540414858
89;403;61.059578323440235
90;404;61.75209747235283
91;406;62.44763289309236
92;407;63.14614522584202
93;409;63.8475956942745
94;410;64.55194609157905
95;412;65.25915876697889
96;413;65.96919661271664
97;415;66.68202305148662
98;416;67.3976020242934
99;418;68.11589797871818
100;419;68.83687585757434
101;420;69.5605010879359
102;422;70.28673957052195
103;423;71.01555766942232
104;424;71.74692220215019
105;426;72.48080043000692
106;427;73.21716004874759
107;428;73.95596917953327
108;430;74.69719636015986
109;431;75.44081053655094
110;432;76.18678105450505
111;434;76.93507765168687
112;435;77.6856704498527
113;436;78.43852994730145
